Date,Predicted_Close,Actual_Close,Stock
2022-02-17,0.50020432472229,0.575,KRONO
2022-02-18,0.5023475885391235,0.57,KRONO
2022-02-21,0.5142127871513367,0.575,KRONO
2022-02-22,0.5234014391899109,0.57,KRONO
2022-02-23,0.5346478223800659,0.57,KRONO
2022-02-24,0.5145235657691956,0.555,KRONO
2022-02-25,0.4883017539978027,0.565,KRONO
2022-02-28,0.517162561416626,0.57,KRONO
2022-03-01,0.5398073196411133,0.565,KRONO
2022-03-02,0.4997154176235199,0.56,KRONO
2022-03-03,0.4710086584091186,0.54,KRONO
2022-03-04,0.4757455587387085,0.53,KRONO
2022-03-07,0.4797632992267608,0.48,KRONO
2022-03-08,0.4923306107521057,0.46,KRONO
2022-03-09,0.5238138437271118,0.5,KRONO
2022-03-10,0.4893937706947326,0.505,KRONO
2022-03-11,0.4697813689708709,0.5,KRONO
2022-03-14,0.4871077537536621,0.505,KRONO
2022-03-15,0.5082264542579651,0.485,KRONO
2022-03-16,0.4734904766082763,0.505,KRONO
2022-03-17,0.466641753911972,0.51,KRONO
2022-03-18,0.4970546960830688,0.51,KRONO
2022-03-21,0.440506100654602,0.525,KRONO
2022-03-22,0.4986454248428345,0.545,KRONO
2022-03-23,0.5450416803359985,0.56,KRONO
2022-03-24,0.4808345139026642,0.555,KRONO
2022-03-25,0.4786829650402069,0.555,KRONO
2022-03-28,0.4854577779769897,0.55,KRONO
2022-03-29,0.5105785727500916,0.565,KRONO
2022-03-30,0.4713946282863617,0.565,KRONO
2022-03-31,0.4622285962104797,0.56,KRONO
2022-04-01,0.4826904237270355,0.555,KRONO
2022-04-04,0.4678183197975158,0.555,KRONO
2022-04-05,0.4948529005050659,0.56,KRONO
2022-04-06,0.5213146209716797,0.555,KRONO
2022-04-07,0.4905396103858948,0.55,KRONO
2022-04-08,0.4591491222381592,0.545,KRONO
2022-04-11,0.4941763281822204,0.525,KRONO
2022-04-12,0.5120282173156738,0.52,KRONO
2022-04-13,0.4756167232990265,0.525,KRONO
2022-04-14,0.4438567459583282,0.53,KRONO
2022-04-15,0.4755261242389679,0.525,KRONO
2022-04-18,0.4655357897281647,0.52,KRONO
2022-04-20,0.4701950848102569,0.52,KRONO
2022-04-21,0.5021354556083679,0.53,KRONO
2022-04-22,0.4731997847557068,0.53,KRONO
2022-04-25,0.4623461067676544,0.51,KRONO
2022-04-26,0.481187641620636,0.51,KRONO
2022-04-27,0.4950480461120605,0.51,KRONO
2022-04-28,0.4680107533931732,0.515,KRONO
2022-04-29,0.442655861377716,0.52,KRONO
2022-05-05,0.4642440378665924,0.52,KRONO
2022-05-06,0.4492788314819336,0.51,KRONO
2022-05-09,0.4627463221549988,0.5,KRONO
2022-05-10,0.4983805119991302,0.495,KRONO
2022-05-11,0.4638611376285553,0.495,KRONO
2022-05-12,0.4562256634235382,0.47,KRONO
2022-05-13,0.4716419279575348,0.48,KRONO
2022-05-17,0.4833014011383056,0.495,KRONO
2022-05-18,0.4598254561424255,0.49,KRONO
2022-01-03,0.6681227087974548,0.71,LUXCHEM
2022-01-04,0.625575840473175,0.705,LUXCHEM
2022-01-05,0.6832644939422607,0.705,LUXCHEM
2022-01-06,0.6700025796890259,0.705,LUXCHEM
2022-01-07,0.6832451820373535,0.705,LUXCHEM
2022-01-10,0.6614517569541931,0.7,LUXCHEM
2022-01-11,0.6295803785324097,0.695,LUXCHEM
2022-01-12,0.7048777341842651,0.695,LUXCHEM
2022-01-13,0.6951714158058167,0.69,LUXCHEM
2022-01-14,0.6603977680206299,0.685,LUXCHEM
2022-01-17,0.6582133769989014,0.685,LUXCHEM
2022-01-19,0.6220974326133728,0.685,LUXCHEM
2022-01-20,0.6471455097198486,0.68,LUXCHEM
2022-01-21,0.6538482904434204,0.68,LUXCHEM
2022-01-24,0.6720988154411316,0.675,LUXCHEM
2022-01-25,0.6402277946472168,0.675,LUXCHEM
2022-01-26,0.6374751329421997,0.675,LUXCHEM
2022-01-27,0.6931099891662598,0.67,LUXCHEM
2022-01-28,0.6722098588943481,0.67,LUXCHEM
2022-01-31,0.6472917199134827,0.67,LUXCHEM
2022-02-03,0.6293439865112305,0.675,LUXCHEM
2022-02-04,0.632150411605835,0.7,LUXCHEM
2022-02-07,0.6238081455230713,0.725,LUXCHEM
2022-02-08,0.646654486656189,0.72,LUXCHEM
2022-02-09,0.6815986037254333,0.725,LUXCHEM
2022-02-10,0.6387768387794495,0.715,LUXCHEM
2022-02-11,0.6190835237503052,0.715,LUXCHEM
2022-02-14,0.6657935380935669,0.705,LUXCHEM
2022-02-15,0.6753857135772705,0.715,LUXCHEM
2022-02-16,0.623458743095398,0.735,LUXCHEM
2022-02-17,0.5978826284408569,0.735,LUXCHEM
2022-02-18,0.606318473815918,0.735,LUXCHEM
2022-02-21,0.6000789403915405,0.705,LUXCHEM
2022-02-22,0.622153639793396,0.7,LUXCHEM
2022-02-23,0.6489731073379517,0.71,LUXCHEM
2022-02-24,0.6093276143074036,0.7,LUXCHEM
2022-02-25,0.5983940958976746,0.69,LUXCHEM
2022-02-28,0.6318988800048828,0.69,LUXCHEM
2022-03-01,0.6478761434555054,0.69,LUXCHEM
2022-03-02,0.5939000248908997,0.695,LUXCHEM
2022-03-03,0.5752488374710083,0.695,LUXCHEM
2022-03-04,0.5858331918716431,0.68,LUXCHEM
2022-03-07,0.5664368271827698,0.675,LUXCHEM
2022-03-08,0.6043928861618042,0.655,LUXCHEM
2022-03-09,0.6449141502380371,0.655,LUXCHEM
2022-03-10,0.5950013995170593,0.665,LUXCHEM
2022-03-11,0.5718989372253418,0.66,LUXCHEM
2022-03-14,0.6057558655738831,0.66,LUXCHEM
2022-03-15,0.6219426393508911,0.665,LUXCHEM
2022-03-16,0.5796805024147034,0.67,LUXCHEM
2022-03-17,0.5478678941726685,0.67,LUXCHEM
2022-03-18,0.5659062266349792,0.67,LUXCHEM
2022-03-21,0.541698694229126,0.685,LUXCHEM
2022-03-22,0.5780462026596069,0.68,LUXCHEM
2022-03-23,0.6170439720153809,0.68,LUXCHEM
2022-03-24,0.5680025219917297,0.675,LUXCHEM
2022-03-25,0.5471482276916504,0.69,LUXCHEM
2022-03-28,0.5797414779663086,0.675,LUXCHEM
2022-03-29,0.6026375889778137,0.68,LUXCHEM
2022-03-30,0.5568689703941345,0.685,LUXCHEM
2022-03-31,0.5390666723251343,0.715,LUXCHEM
2022-04-01,0.5577585101127625,0.715,LUXCHEM
2022-04-04,0.5429044365882874,0.73,LUXCHEM
2022-04-05,0.5696541666984558,0.73,LUXCHEM
2022-04-06,0.6037229895591736,0.72,LUXCHEM
2022-04-07,0.5690215826034546,0.705,LUXCHEM
2022-04-08,0.5348563194274902,0.71,LUXCHEM
2022-04-11,0.5678391456604004,0.705,LUXCHEM
2022-04-12,0.5906258821487427,0.705,LUXCHEM
2022-04-13,0.5511941909790039,0.715,LUXCHEM
2022-04-14,0.5220916867256165,0.705,LUXCHEM
2022-04-15,0.5440949201583862,0.7,LUXCHEM
2022-04-18,0.5399117469787598,0.7,LUXCHEM
2022-04-20,0.5500006675720215,0.685,LUXCHEM
2022-04-21,0.5822595357894897,0.69,LUXCHEM
2022-04-22,0.5544232130050659,0.7,LUXCHEM
2022-04-25,0.5320860147476196,0.68,LUXCHEM
2022-04-26,0.5590193271636963,0.69,LUXCHEM
2022-04-27,0.5775660276412964,0.68,LUXCHEM
2022-04-28,0.5354280471801758,0.68,LUXCHEM
2022-04-29,0.5274226069450378,0.675,LUXCHEM
2022-05-05,0.5538920164108276,0.675,LUXCHEM
2022-05-06,0.5320252180099487,0.675,LUXCHEM
2022-05-09,0.5549881458282471,0.67,LUXCHEM
2022-05-10,0.6013350486755371,0.665,LUXCHEM
2022-05-11,0.5591413378715515,0.665,LUXCHEM
2022-05-12,0.5378174781799316,0.66,LUXCHEM
2022-05-13,0.5608040690422058,0.66,LUXCHEM
2022-05-17,0.5814439654350281,0.66,LUXCHEM
2022-05-18,0.5456753373146057,0.67,LUXCHEM
2022-01-03,1.3012995719909668,1.23,MKH
2022-01-04,1.0754306316375732,1.25,MKH
2022-01-05,1.1583446264266968,1.24,MKH
2022-01-06,1.238803505897522,1.23,MKH
2022-01-07,1.316038727760315,1.24,MKH
2022-01-10,1.292757272720337,1.23,MKH
2022-01-11,1.0477415323257446,1.24,MKH
2022-01-12,1.351570963859558,1.23,MKH
2022-01-13,1.3637276887893677,1.24,MKH
2022-01-14,1.219421625137329,1.23,MKH
2022-01-17,1.3326798677444458,1.24,MKH
2022-01-19,1.1271697282791138,1.23,MKH
2022-01-20,1.1504439115524292,1.23,MKH
2022-01-21,1.2530276775360107,1.23,MKH
2022-01-24,1.3147878646850586,1.22,MKH
2022-01-25,1.4360909461975098,1.22,MKH
